product_category_name,late_rate
casa_conforto_2,16.67
moveis_colchao_e_estofado,13.51
audio,12.71
fashion_underwear_e_moda_praia,12.60
artigos_de_natal,12.00
livros_tecnicos,11.03
casa_conforto,10.26
construcao_ferramentas_iluminacao,9.97
alimentos,9.82
eletronicos,9.75
beleza_saude,9.05
moveis_escritorio,8.93
bebes,8.79
instrumentos_musicais,8.60
moveis_decoracao,8.43
cama_mesa_banho,8.40
telefonia,8.33
artes_e_artesanato,8.33
automotivo,8.29
relogios_presentes,8.28
casa_construcao,8.22
construcao_ferramentas_construcao,8.08
papelaria,8.03
ferramentas_jardim,7.97
musica,7.89
moveis_sala,7.88
consoles_games,7.81
informatica_acessorios,7.77
moveis_quarto,7.77
artes,7.61
industria_comercio_e_negocios,7.55
brinquedos,7.42
esporte_lazer,7.41
perfumaria,7.34
construcao_ferramentas_jardim,7.33
tablets_impressao_imagem,7.23
cine_foto,7.14
portateis_cozinha_e_preparadores_de_alimentos,7.14
eletrodomesticos_2,6.93
fashion_esporte,6.90
portateis_casa_forno_e_cafe,6.85
eletrodomesticos,6.76
cool_stuff,6.75
fashion_roupa_feminina,6.67
dvds_blu_ray,6.56
pcs,6.53
livros_interesse_geral,6.52
utilidades_domesticas,6.49
alimentos_bebidas,6.32
fashion_bolsas_e_acessorios,6.25
pet_shop,6.13
eletroportateis,5.93
fashion_calcados,5.84
construcao_ferramentas_ferramentas,5.83
fashion_roupa_masculina,5.60
sinalizacao_e_seguranca,5.58
bebidas,5.54
construcao_ferramentas_seguranca,5.46
malas_acessorios,5.39
artigos_de_festas,4.76
moveis_cozinha_area_de_servico_jantar_e_jardim,4.38
agro_industria_e_comercio,4.37
telefonia_fixa,4.31
market_place,4.26
climatizacao,3.81
livros_importados,3.51
flores,3.03
fraldas_higiene,2.70
cds_dvds_musicais,0.00
la_cuisine,0.00
seguros_e_servicos,0.00
pc_gamer,0.00
fashion_roupa_infanto_juvenil,0.00
